,Silhouette,Davies-Bouldin,Inercia,ARI,NMI,Log-Likelihood
K-Means,0.6109562466623005,0.5394433881336602,119.87493760484085,0.9227196507597459,0.881410985542369,
Bisecting K-Means,0.6028876400827631,0.5476545397884638,124.35015086914574,0.9141896969087683,0.874969552399551,
GMM,0.6109562466623005,0.5394433881336602,,0.9227196507597459,0.881410985542369,-2.1910355661609295
